phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,corpus
крестов на кладбищах,крестов,на,кладбищах,loct,кладбище,plur,NOUN,крестовый,ADJS,локатив,taiga
перерыли на участке Сухановой,перерыли,на,участке,loct,участок,sing,NOUN,перерыть,VERB,локатив,taiga
на Марсовом поле состоялась,состоялась,на,поле,loct,пол,sing,NOUN,состояться,VERB,локатив,taiga
на пересечении улиц Авроры и Гагарина легковушка отечественного производства вылетела,вылетела,на,пересечении,loct,пересечение,sing,NOUN,вылететь,VERB,локатив,taiga
выставлялся на зарубежных выставках,выставлялся,на,выставках,loct,выставка,plur,NOUN,выставляться,VERB,локатив,taiga
«Все на нашем участке уже выполнены»,Все,на,участке,loct,участок,sing,NOUN,всё,ADVB,локатив,taiga
варятся на заводе,варятся,на,заводе,loct,завод,sing,NOUN,вариться,VERB,локатив,taiga
"затрагивалась на встрече Владимира Путина с Александром Лукашенко накануне """,затрагивалась,на,встрече,loct,встреча,sing,NOUN,затрагиваться,VERB,темпоратив,taiga
оставлять на свободе,оставлять,на,свободе,loct,свобода,sing,NOUN,оставлять,INFN,локатив,taiga
на борту которого находятся,находятся,на,борту,loct,борт,sing,NOUN,находиться,VERB,локатив,taiga
находящиеся на государственной службе,находящиеся,на,службе,loct,служба,sing,NOUN,находиться,PRTF,локатив,taiga
Фальшивомонетчики только на территории московского региона,Фальшивомонетчики,на,территории,loct,территория,sing,NOUN,фальшивомонетчик,NOUN,локатив,taiga
вносятся на сайте fedresurs.ru,вносятся,на,сайте,loct,сайт,sing,NOUN,вноситься,VERB,локатив,taiga
товар на первичном рынке жилья,товар,на,рынке,loct,рынок,sing,NOUN,товар,NOUN,локатив,taiga
на этой неделе объявила,объявила,на,неделе,loct,неделя,sing,NOUN,объявить,VERB,темпоратив,taiga
уборка на территории крытого катка «Северная Олимпия»,уборка,на,территории,loct,территория,sing,NOUN,уборка,NOUN,локатив,taiga
шоу на водном экране возле Елагиноостровского дворца,шоу,на,экране,loct,экран,sing,NOUN,шоу,NOUN,локатив,taiga
материал на сайте CNN,материал,на,сайте,loct,сайт,sing,NOUN,материал,NOUN,локатив,taiga
Управления на транспорте,Управления,на,транспорте,loct,транспорт,sing,NOUN,управление,NOUN,локатив,taiga
находятся на YEAR позиции,находятся,на,позиции,loct,позиция,sing,NOUN,находиться,VERB,локатив,taiga
расположена на западе Тихого океана,расположена,на,западе,loct,запад,sing,NOUN,расположить,PRTS,локатив,taiga
уронил на Наличной улице,уронил,на,улице,loct,улица,sing,NOUN,уронить,VERB,локатив,taiga
"присутствовать на трибунах домашнего стадиона "" Барселоны """,присутствовать,на,трибунах,loct,трибун,plur,NOUN,присутствовать,INFN,локатив,taiga
выйдя на поле,выйдя,на,поле,loct,пол,sing,NOUN,выйти,GRND,локатив,taiga
расположенном на первом этаже тюменского железнодорожного вокзала,расположенном,на,этаже,loct,этаж,sing,NOUN,расположить,PRTF,локатив,taiga
найденный на прилавках интернет-магазинов,найденный,на,прилавках,loct,прилавок,plur,NOUN,найти,PRTF,локатив,taiga
на вокзале заминированы,заминированы,на,вокзале,loct,вокзал,sing,NOUN,заминировать,PRTS,локатив,taiga
обнаружен на финском сухогрузе M/S Finnsun,обнаружен,на,сухогрузе,loct,сухогруз,sing,NOUN,обнаружить,PRTS,локатив,taiga
выводить на площади,выводить,на,площади,loct,площадь,sing,NOUN,выводить,INFN,локатив,taiga
Выйдя на Малой Балканской улице,Выйдя,на,улице,loct,улица,sing,NOUN,выйти,GRND,локатив,taiga
побывать на открытии концертного сезона,побывать,на,открытии,loct,открытие,sing,NOUN,побывать,INFN,темпоратив,taiga
на улицах прозвучат,прозвучат,на,улицах,loct,улица,plur,NOUN,прозвучать,VERB,локатив,taiga
появилась на сайте госзакупок,появилась,на,сайте,loct,сайт,sing,NOUN,появиться,VERB,локатив,taiga
на встрече по вопросам поддержки мусульманских религиозных организаций Северного Кавказа отметил,отметил,на,встрече,loct,встреча,sing,NOUN,отметить,VERB,темпоратив,taiga
на заборе написали,написали,на,заборе,loct,забор,sing,NOUN,написать,VERB,локатив,taiga
политики на международной арене,политики,на,арене,loct,арен,sing,NOUN,политика,NOUN,локатив,taiga
на борту потерпевшего,потерпевшего,на,борту,loct,борт,sing,NOUN,потерпевший,ADJF,локатив,taiga
находятся на учениях,находятся,на,учениях,loct,учение,plur,NOUN,находиться,VERB,темпоратив,taiga
вечером на коммерческой основе,вечером,на,основе,loct,основа,sing,NOUN,вечером,ADVB,ситуатив,taiga
на сайте проекта значится,значится,на,сайте,loct,сайт,sing,NOUN,значиться,VERB,локатив,taiga
внимательными на этом участке дороги,внимательными,на,участке,loct,участок,sing,NOUN,внимательный,ADJF,локатив,taiga
опубликовано на сайте www.interfax.ru,опубликовано,на,сайте,loct,сайт,sing,NOUN,опубликовать,PRTS,локатив,taiga
познакомились на съемках фильма,познакомились,на,съемках,loct,съёмка,plur,NOUN,познакомиться,VERB,темпоратив,taiga
наличия на Марсе,наличия,на,Марсе,loct,марс,sing,NOUN,наличие,NOUN,локатив,taiga
потоки на углу Садовой и Невского,потоки,на,углу,loct,угол,sing,NOUN,поток,NOUN,локатив,taiga
запланирована на канале «Россия NUM,запланирована,на,канале,loct,канал,sing,NOUN,запланировать,PRTS,локатив,taiga
на чемпионате мира в Солт-Лейк-Сити стал,стал,на,чемпионате,loct,чемпионат,sing,NOUN,стать,VERB,темпоратив,taiga
президент на заседании Совбеза России по развитию космической отрасли,президент,на,заседании,loct,заседание,sing,NOUN,президент,NOUN,темпоратив,taiga
написал на своей страничке,написал,на,страничке,loct,страничка,sing,NOUN,написать,VERB,локатив,taiga
движение на участке от Песочной улицы,движение,на,участке,loct,участок,sing,NOUN,движение,NOUN,локатив,taiga
расположенном на Аллее Славы,расположенном,на,Аллее,datv,аллея,sing,NOUN,расположить,PRTF,локатив,taiga
погибшего на Аллее актеров,погибшего,на,Аллее,datv,аллея,sing,NOUN,погибший,ADJF,локатив,taiga
спрос на нее,спрос,на,нее,datv,нея,sing,NOUN,спрос,NOUN,объект,taiga
на мне был,был,на,мне,datv,я,sing,NPRO,быть,VERB,локатив,taiga
на ПМЭФе показывали,показывали,на,ПМЭФе,datv,пмэфа,sing,NOUN,показывать,VERB,темпоратив,taiga
«подтвердив на таможне,подтвердив,на,таможне,datv,таможня,sing,NOUN,подтвердить,GRND,локатив,taiga
буйствовал на планете,буйствовал,на,планете,datv,планета,sing,NOUN,буйствовать,VERB,локатив,taiga
на нее реагирует,реагирует,на,нее,datv,нея,sing,NOUN,реагировать,VERB,объект,taiga
на планете прозвучат,прозвучат,на,планете,datv,планета,sing,NOUN,прозвучать,VERB,локатив,taiga
лечь на пол NUM продавщице,лечь,на,продавщице,datv,продавщица,sing,NOUN,лечь,INFN,локатив,taiga
оказалась на YEAR строчке рейтинга,оказалась,на,строчке,datv,строчка,sing,NOUN,оказаться,VERB,локатив,taiga
на этом же мосту подорван,подорван,на,мосту,datv,мост,sing,NOUN,подорвать,PRTS,локатив,taiga
огни на главной елке города,огни,на,елке,datv,ёлка,sing,NOUN,огонь,NOUN,локатив,taiga
остановились на инсценировке разбойного нападения в парадной,остановились,на,инсценировке,datv,инсценировка,sing,NOUN,остановиться,VERB,тематив,taiga
упал на мосту,упал,на,мосту,datv,мост,sing,NOUN,упасть,VERB,локатив,taiga
на дамбе освоены,освоены,на,дамбе,datv,дамба,sing,NOUN,освоить,PRTS,локатив,taiga
обеспечить на дороге для общественного транспорта,обеспечить,на,дороге,datv,дорога,sing,NOUN,обеспечить,INFN,локатив,taiga
вырывает на крышке гроба покойника,вырывает,на,крышке,datv,крышка,sing,NOUN,вырывать,VERB,локатив,taiga
главнее на дороге,главнее,на,дороге,datv,дорога,sing,NOUN,главный,COMP,локатив,taiga
выехал на встречку,выехал,на,встречку,datv,встречок,sing,NOUN,выехать,VERB,локатив,taiga
высадили на ближайшей остановке,высадили,на,остановке,datv,остановка,sing,NOUN,высадить,VERB,локатив,taiga
оценивает уже на полке,оценивает,на,полке,datv,полка,sing,NOUN,оценивать,VERB,локатив,taiga
началось на полу,началось,на,полу,datv,пол,sing,NOUN,начаться,VERB,локатив,taiga
на нее набросился,набросился,на,нее,datv,нея,sing,NOUN,наброситься,VERB,объект,taiga
на заправке испугались,испугались,на,заправке,datv,заправка,sing,NOUN,испугаться,VERB,локатив,taiga
на Окинаве находятся,находятся,на,Окинаве,datv,окинава,sing,NOUN,находиться,VERB,локатив,taiga
паром на сжиженном природном газе ( СПГ ) Megastar —,паром,на,газе,datv,газа,sing,NOUN,паром,NOUN,инструментив,taiga
«Победили на Охте,Победили,на,Охте,datv,охта,sing,NOUN,победить,VERB,локатив,taiga
взглянуть на некоторые национальные свадебные традиции,взглянуть,на,традиции,datv,традиция,sing,NOUN,взглянуть,INFN,объект,taiga
обнаружили на стройплощадке,обнаружили,на,стройплощадке,datv,стройплощадка,sing,NOUN,обнаружить,VERB,локатив,taiga
русская на планете Земля,русская,на,планете,datv,планета,sing,NOUN,русский,ADJF,локатив,taiga
такси на Ржевке,такси,на,Ржевке,datv,ржевка,sing,NOUN,такси,NOUN,локатив,taiga
катеров на воздушной подушке «Хивус»,катеров,на,подушке,datv,подушка,sing,NOUN,катер,NOUN,инструментив,taiga
на Кушелевской дороге произошло,произошло,на,дороге,datv,дорога,sing,NOUN,произойти,VERB,локатив,taiga
на снимке его комнаты попал,попал,на,снимке,datv,снимка,sing,NOUN,попасть,VERB,локатив,taiga
разместив на китайской версии поисковика,разместив,на,версии,datv,версия,sing,NOUN,разместить,GRND,локатив,taiga
сказался на популярности Клинтон,сказался,на,популярности,datv,популярность,sing,NOUN,сказаться,VERB,объект,taiga
Трамваи на Лиговке,Трамваи,на,Лиговке,datv,лиговка,sing,NOUN,трамвай,NOUN,локатив,taiga
налетел на опору рекламного щита,налетел,на,опору,datv,опор,sing,NOUN,налететь,VERB,объект,taiga
среди ополченцев погибли,погибли,среди,ополченцев,gent,ополченец,plur,NOUN,погибнуть,VERB,квалификатив,taiga
количества среди клиентов NUM,количества,среди,клиентов,gent,клиент,plur,NOUN,количество,NOUN,квалификатив,taiga
откликов среди орловцев,откликов,среди,орловцев,gent,орловец,plur,NOUN,отклик,NOUN,квалификатив,taiga
популярными среди любителей подледного лова,популярными,среди,любителей,gent,любитель,plur,NOUN,популярный,ADJF,квалификатив,taiga
стоят среди причин выбрать именно эту партию ( NUM % ),стоят,среди,причин,gent,причина,plur,NOUN,стоять,VERB,квалификатив,taiga
среди российских пользователей составили,составили,среди,пользователей,gent,пользователь,plur,NOUN,составить,VERB,квалификатив,taiga
среди причин исчезновения детей - беженцев могут быть,могут,среди,причин,gent,причина,plur,NOUN,мочь,VERB,квалификатив,taiga
Соревнования среди женщин и девушек,Соревнования,среди,женщин,gent,женщина,plur,NOUN,соревнование,NOUN,квалификатив,taiga
разговоров среди европейцев об отмене санкций,разговоров,среди,европейцев,gent,европеец,plur,NOUN,разговор,NOUN,квалификатив,taiga
среди которых были,были,среди,которых,gent,который,plur,ADJF,быть,VERB,квалификатив,taiga
пострадавшие среди прохожих,пострадавшие,среди,прохожих,gent,прохожий,plur,ADJF,пострадавший,NOUN,квалификатив,taiga
первым среди российских банков,первым,среди,банков,gent,банк,plur,NOUN,один,ADJF,квалификатив,taiga
среди которых дети,дети,среди,которых,gent,который,plur,ADJF,ребёнок,NOUN,квалификатив,taiga
среди которых помощь,помощь,среди,которых,gent,который,plur,ADJF,помощь,NOUN,квалификатив,taiga
среди несовершеннолетних выражается,выражается,среди,несовершеннолетних,gent,несовершеннолетний,plur,ADJF,выражаться,VERB,квалификатив,taiga
процентов ( а среди молодежи - NUM процентов ),процентов,среди,молодежи,gent,молодёжь,sing,NOUN,процент,NOUN,квалификатив,taiga
находятся среди пикетчиков,находятся,среди,пикетчиков,gent,пикетчик,plur,NOUN,находиться,VERB,квалификатив,taiga
Доля среди молодых людей,Доля,среди,людей,gent,человек,plur,NOUN,доля,NOUN,квалификатив,taiga
занимает среди коллег по ЮФО,занимает,среди,коллег,gent,коллега,plur,NOUN,занимать,VERB,квалификатив,taiga
сильнейших среди мужчин,сильнейших,среди,мужчин,gent,мужчина,plur,NOUN,сильнейший,ADJF,квалификатив,taiga
сохранялась даже среди генетически идентичных червей,сохранялась,среди,червей,gent,черви,plur,NOUN,сохраняться,VERB,квалификатив,taiga
среди них были,были,среди,них,gent,они,plur,NPRO,быть,VERB,квалификатив,taiga
распространение среди абонентов NUM,распространение,среди,абонентов,gent,абонент,plur,NOUN,распространение,NOUN,квалификатив,taiga
единороссов среди подписантов,единороссов,среди,подписантов,gent,подписант,plur,NOUN,единоросс,NOUN,квалификатив,taiga
среди изученных специалистами птиц попытки образовать пары с особями своего пола предпринимали,предпринимали,среди,птиц,gent,птица,plur,NOUN,предпринимать,VERB,квалификатив,taiga
среди них выбрать,выбрать,среди,них,gent,они,plur,NPRO,выбрать,INFN,квалификатив,taiga
обновление для полного перехода на электронный документооборот,обновление,для,перехода,gent,переход,sing,NOUN,техника,NOUN,дестинатив,taiga
выехал для проверки,выехал,для,проверки,gent,проверка,sing,NOUN,выехать,VERB,дестинатив,taiga
контракта для французской стороны,контракта,для,стороны,gent,сторона,sing,NOUN,контракт,NOUN,дестинатив,taiga
времени для регистрации,времени,для,регистрации,gent,регистрация,sing,NOUN,время,NOUN,потенсив,taiga
поводом для возбуждения уголовных дел,поводом,для,возбуждения,gent,возбуждение,sing,NOUN,повод,NOUN,потенсив,taiga
останется для него,останется,для,него,gent,он,sing,NPRO,остаться,VERB,дестинатив,taiga
верный для этого,верный,для,этого,gent,это,sing,NPRO,верный,ADJF,квалификатив,taiga
направил для принятия решения о возбуждении уголовного дела по статье NUM УК РФ,направил,для,принятия,gent,принятие,sing,NOUN,направить,VERB,дестинатив,taiga
форумом для достижения необходимого диалога,форумом,для,достижения,gent,достижение,sing,NOUN,форум,NOUN,дестинатив,taiga
площадкой для консультаций по вопросам безопасности,площадкой,для,консультаций,gent,консультация,plur,NOUN,площадка,NOUN,дестинатив,taiga
лекарством для разделенной нации,лекарством,для,нации,gent,нация,sing,NOUN,лекарство,NOUN,дестинатив,taiga
сохранили только для двух проектов,сохранили,для,проектов,gent,проект,plur,NOUN,сохранить,VERB,дестинатив,taiga
закон ( для взрослых и детей ),закон,для,взрослых,gent,взрослый,plur,NOUN,закон,NOUN,дестинатив,taiga
открыты для всех желающих с NUM утра до NUM часов вечера,открыты,для,всех,gent,весь,plur,ADJF,открытый,ADJS,дестинатив,taiga
концерт для ветеранов Великой Отечественной войны,концерт,для,ветеранов,gent,ветеран,plur,NOUN,концерт,NOUN,дестинатив,taiga
площадей для хранения фондов Российского этнографического музея,площадей,для,хранения,gent,хранение,sing,NOUN,площадь,NOUN,дестинатив,taiga
использовать для проведения различных выставок и семинаров,использовать,для,проведения,gent,проведение,sing,NOUN,использовать,INFN,дестинатив,taiga
семинары для местных врачей и учителей,семинары,для,врачей,gent,врач,plur,NOUN,семинар,NOUN,дестинатив,taiga
века для органа и струнного квартета»,века,для,органа,gent,орган,sing,NOUN,век,NOUN,дестинатив,taiga
доставить для избрания,доставить,для,избрания,gent,избрание,sing,NOUN,доставить,INFN,дестинатив,taiga
мг/кг ( для дизельного топлива - NUM мг / кг ),мг/кг,для,топлива,gent,топливо,sing,NOUN,мг/кг,NOUN,дестинатив,taiga
для выпускников российских школ начнется,начнется,для,выпускников,gent,выпускник,plur,NOUN,начаться,VERB,дестинатив,taiga
использовать для растопки печи,использовать,для,растопки,gent,растопка,sing,NOUN,использовать,INFN,дестинатив,taiga
путь для понимания себя,путь,для,понимания,gent,понимание,sing,NOUN,путь,NOUN,дестинатив,taiga
предназначенный для подвоза и разгрузки продуктов,предназначенный,для,подвоза,gent,подвоз,sing,NOUN,предназначить,PRTF,дестинатив,taiga
условия для диалога между правительством и оппозицией,условия,для,диалога,gent,диалог,sing,NOUN,условие,NOUN,потенсив,taiga
ищет для опроса,ищет,для,опроса,gent,опрос,sing,NOUN,искать,VERB,дестинатив,taiga
готово для реализации первого проекта,готово,для,реализации,gent,реализация,sing,NOUN,готовый,ADJS,потенсив,taiga
для проведения матчей готов,готов,для,проведения,gent,проведение,sing,NOUN,готовый,ADJS,потенсив,taiga
вышла для консолей Xbox и NUM,вышла,для,консолей,gent,консоль,plur,NOUN,выйти,VERB,дестинатив,taiga
проблемы для развития живых организмов,проблемы,для,развития,gent,развитие,sing,NOUN,проблема,NOUN,квалификатив,taiga
предлагаем для мужчин,предлагаем,для,мужчин,gent,мужчина,plur,NOUN,предлагать,VERB,дестинатив,taiga
комитет для мониторинга цен на рынке нефтепродуктов,комитет,для,мониторинга,gent,мониторинг,sing,NOUN,комитет,NOUN,дестинатив,taiga
ресурсы для общения с Москвой,ресурсы,для,общения,gent,общение,sing,NOUN,ресурс,NOUN,дестинатив,taiga
важны для них,важны,для,них,gent,они,plur,NPRO,важный,ADJS,квалификатив,taiga
значит для нас,значит,для,нас,gent,мы,plur,NPRO,значит,CONJ,квалификатив,taiga
предано для утверждения обвинительного заключения и дальнейшего направления в суд,предано,для,утверждения,gent,утверждение,sing,NOUN,предать,PRTS,дестинатив,taiga
для ветеранов выделяются,выделяются,для,ветеранов,gent,ветеран,plur,NOUN,выделяться,VERB,дестинатив,taiga
«хороши для мира и других вещей»,хороши,для,мира,gent,мир,sing,NOUN,хороший,ADJS,квалификатив,taiga
очередей для финнов и иностранцев,очередей,для,финнов,gent,финн,plur,NOUN,очередь,NOUN,дестинатив,taiga
доступен для компьютеров от Apple и для мобильных устройств на базе iOS и Android,доступен,для,компьютеров,gent,компьютер,plur,NOUN,доступный,ADJS,дестинатив,taiga
поводом для отказа партии в регистрации,поводом,для,отказа,gent,отказ,sing,NOUN,повод,NOUN,потенсив,taiga
основание для содержания под стражей законом,основание,для,содержания,gent,содержание,sing,NOUN,основание,NOUN,потенсив,taiga
впервые для российской прессы,впервые,для,прессы,gent,пресса,sing,NOUN,впервые,ADVB,квалификатив,taiga
год ( для детей в возрасте от NUM до NUM лет ),год,для,детей,gent,ребёнок,plur,NOUN,год,NOUN,дестинатив,taiga
привлек для достройки субподрядчика – ЗАО,привлек,для,достройки,gent,достройка,sing,NOUN,привлечь,VERB,дестинатив,taiga
стимулы для повышения качества своих услуг и эффективности своей работы»,стимулы,для,повышения,gent,повышение,sing,NOUN,стимул,NOUN,дестинатив,taiga
помещения для оказания пострадавшим первой медицинской помощи,помещения,для,оказания,gent,оказание,sing,NOUN,помещение,NOUN,дестинатив,taiga
материалы для обращения в суд,материалы,для,обращения,gent,обращение,sing,NOUN,материал,NOUN,дестинатив,taiga
обычная для европейских стран,обычная,для,стран,gent,страна,plur,NOUN,обычный,ADJF,квалификатив,taiga
решить для реализации,решить,для,реализации,gent,реализация,sing,NOUN,решить,INFN,дестинатив,taiga
необходимые для организации траты,необходимые,для,организации,gent,организация,sing,NOUN,необходимый,ADJF,потенсив,taiga
Основанием для запрета всех заявленных публичных акций,Основанием,для,запрета,gent,запрет,sing,NOUN,основание,NOUN,потенсив,taiga
испытание и для рядовых граждан,испытание,для,граждан,gent,гражданин,plur,NOUN,испытание,NOUN,квалификатив,taiga
для работ на участке дороги с NUM по YEAR километр из Абакана передислоцирован,передислоцирован,для,работ,gent,работа,plur,NOUN,передислоцировать,PRTS,дестинатив,taiga
предметы для сдачи ЕГЭ,предметы,для,сдачи,gent,сдача,sing,NOUN,предмет,NOUN,потенсив,taiga
для них построено,построено,для,них,gent,они,plur,NPRO,построить,PRTS,дестинатив,taiga
концерт для детей и родителей,концерт,для,детей,gent,ребёнок,plur,NOUN,концерт,NOUN,дестинатив,taiga
прокурору для устранения недостатков,прокурору,для,устранения,gent,устранение,sing,NOUN,прокурор,NOUN,дестинатив,taiga
направлено для рассмотрения по существу,направлено,для,рассмотрения,gent,рассмотрение,sing,NOUN,направить,PRTS,дестинатив,taiga
условий для привлечения частных инвестиций и упорядочивание движения грузового транспорта,условий,для,привлечения,gent,привлечение,sing,NOUN,условие,NOUN,дестинатив,taiga
направлено для рассмотрения по существу,направлено,для,рассмотрения,gent,рассмотрение,sing,NOUN,направить,PRTS,дестинатив,taiga
для деловых людей найти,найти,для,людей,gent,человек,plur,NOUN,найти,INFN,дестинатив,taiga
основания для проведения административного расследования,основания,для,проведения,gent,проведение,sing,NOUN,основание,NOUN,потенсив,taiga
опасно для жизни,опасно,для,жизни,gent,жизнь,sing,NOUN,опасный,ADJS,квалификатив,taiga
прошел для обеспечения безопасности гражданского судоходства в районе Аденского залива,прошел,для,обеспечения,gent,обеспечение,sing,NOUN,пройти,VERB,дестинатив,taiga
для принятия решения нужно,нужно,для,принятия,gent,принятие,sing,NOUN,нужно,PRED,потенсив,taiga
привлечение для развития системы микрофинансирования,привлечение,для,развития,gent,развитие,sing,NOUN,привлечение,NOUN,дестинатив,taiga
срок для планирования таких объемных закупок,срок,для,планирования,gent,планирование,sing,NOUN,срок,NOUN,квалификатив,taiga
направляет для жителей Донецкой и Луганской областей,направляет,для,жителей,gent,житель,plur,NOUN,направлять,VERB,дестинатив,taiga
решение для урегулирования конфликта,решение,для,урегулирования,gent,урегулирование,sing,NOUN,решение,NOUN,дестинатив,taiga
кабинеты для адвокатов и прокуроров,кабинеты,для,адвокатов,gent,адвокат,plur,NOUN,кабинет,NOUN,дестинатив,taiga
для этого удобно,удобно,для,этого,gent,это,sing,NPRO,удобно,ADVB,квалификатив,taiga
последствий для Деда Мороза,последствий,для,Деда,gent,дед,sing,NOUN,последствие,NOUN,дестинатив,taiga
адаптировать для мигрантов,адаптировать,для,мигрантов,gent,мигрант,plur,NOUN,адаптировать,INFN,дестинатив,taiga
значит для материализации замысла,значит,для,материализации,gent,материализация,sing,NOUN,значит,CONJ,квалификатив,taiga
для него честь,честь,для,него,gent,он,sing,NPRO,честь,NOUN,квалификатив,taiga
делается лишь для процедуры тайного голосования,делается,для,процедуры,gent,процедура,sing,NOUN,делаться,VERB,дестинатив,taiga
оборудование для стерилизации,оборудование,для,стерилизации,gent,стерилизация,sing,NOUN,оборудование,NOUN,дестинатив,taiga
риск для договора о нераспространении ядерного оружия ( ДНЯО ),риск,для,договора,gent,договор,sing,NOUN,риск,NOUN,потенсив,taiga
декларацию для обзора широкой общественности,декларацию,для,обзора,gent,обзор,sing,NOUN,декларация,NOUN,дестинатив,taiga
приобретаться для Института экспериментальной медицины,приобретаться,для,Института,gent,институт,sing,NOUN,приобретаться,INFN,дестинатив,taiga
привлекательным для проживания,привлекательным,для,проживания,gent,проживание,sing,NOUN,привлекательный,ADJF,квалификатив,taiga
Интернет именно для участия в азартных играх,Интернет,для,участия,gent,участие,sing,NOUN,интернет,NOUN,дестинатив,taiga
для проверки документов остановлен,остановлен,для,проверки,gent,проверка,sing,NOUN,остановить,PRTS,дестинатив,taiga
для нас актуален,актуален,для,нас,gent,мы,plur,NPRO,актуальный,ADJS,квалификатив,taiga
важен для команды,важен,для,команды,gent,команда,sing,NOUN,важный,ADJS,квалификатив,taiga
для нас трудноватыми,трудноватыми,для,нас,gent,мы,plur,NPRO,трудноватый,ADJF,квалификатив,taiga
знаковую для предпринимателей,знаковую,для,предпринимателей,gent,предприниматель,plur,NOUN,знаковый,ADJF,квалификатив,taiga
знака для печатной и рекламной продукции,знака,для,продукции,gent,продукция,sing,NOUN,знак,NOUN,дестинатив,taiga
места для велосипедов и колясок,места,для,велосипедов,gent,велосипед,plur,NOUN,место,NOUN,дестинатив,taiga
значение для астероидно - кометной безопасности Земли,значение,для,безопасности,gent,безопасность,sing,NOUN,значение,NOUN,квалификатив,taiga
ищет для проведения исследования по возможности перехвата и расшифровки трафика популярных мессенджеров,ищет,для,проведения,gent,проведение,sing,NOUN,искать,VERB,дестинатив,taiga
"неожиданно для "" ревизоров """,неожиданно,для,ревизоров,gent,ревизор,plur,NOUN,неожиданно,ADVB,квалификатив,taiga
для автобусов делать,делать,для,автобусов,gent,автобус,plur,NOUN,делать,INFN,дестинатив,taiga
хорошо для России и Финляндии,хорошо,для,России,gent,россия,sing,NOUN,хорошо,ADVB,квалификатив,taiga
Сталь для корпуса,Сталь,для,корпуса,gent,корпус,sing,NOUN,сталь,NOUN,дестинатив,taiga
прибыл для транспортировки пострадавших,прибыл,для,транспортировки,gent,транспортировка,sing,NOUN,прибыть,VERB,дестинатив,taiga
для восстановления производственной цепочки нужны,нужны,для,восстановления,gent,восстановление,sing,NOUN,нужный,ADJS,потенсив,taiga
стать даже для самого заказчика,стать,для,заказчика,gent,заказчик,sing,NOUN,стать,INFN,квалификатив,taiga
принимаемые для борьбы с короедом в Подмосковье,принимаемые,для,борьбы,gent,борьба,sing,NOUN,принимать,PRTF,дестинатив,taiga
редкое для России,редкое,для,России,gent,россия,sing,NOUN,редкий,ADJF,квалификатив,taiga
материалы для своей книги,материалы,для,книги,gent,книга,sing,NOUN,материал,NOUN,дестинатив,taiga
для получения доступа в «кабинет» необходимо,необходимо,для,получения,gent,получение,sing,NOUN,необходимый,ADJS,потенсив,taiga
стрижки для настоящих эстетов,стрижки,для,эстетов,gent,эстет,plur,NOUN,стрижка,NOUN,дестинатив,taiga
выйдет для Резервного фонда,выйдет,для,фонда,gent,фонд,sing,NOUN,выйти,VERB,дестинатив,taiga
важен для других поколений,важен,для,поколений,gent,поколение,plur,NOUN,важный,ADJS,квалификатив,taiga
для нас важно,важно,для,нас,gent,мы,plur,NPRO,важный,ADJS,квалификатив,taiga
применяться для сопровождения наземных колонн,применяться,для,сопровождения,gent,сопровождение,sing,NOUN,применяться,INFN,дестинатив,taiga
самолеты для этой миссии,самолеты,для,миссии,gent,миссия,sing,NOUN,самолёт,NOUN,дестинатив,taiga
помещений для потребления наркотических средств или психотропных веществ,помещений,для,потребления,gent,потребление,sing,NOUN,помещение,NOUN,дестинатив,taiga
усовершенствован для съемок фильма,усовершенствован,для,съемок,gent,съёмка,plur,NOUN,усовершенствовать,PRTS,дестинатив,taiga
сервисов для обмена,сервисов,для,обмена,gent,обмен,sing,NOUN,сервис,NOUN,дестинатив,taiga
обернуться для вкладчика потерей всех накоплений,обернуться,для,вкладчика,gent,вкладчик,sing,NOUN,обернуться,INFN,дестинатив,taiga
воспользовался для собственного обогащения,воспользовался,для,обогащения,gent,обогащение,sing,NOUN,воспользоваться,VERB,дестинатив,taiga
надо для этого,надо,для,этого,gent,это,sing,NPRO,надо,PRED,потенсив,taiga
актуальные для подростков,актуальные,для,подростков,gent,подросток,plur,NOUN,актуальный,ADJF,квалификатив,taiga
аэропорта для малой бизнес - авиации,аэропорта,для,авиации,gent,авиация,sing,NOUN,аэропорт,NOUN,дестинатив,taiga
Полезными для подростков,Полезными,для,подростков,gent,подросток,plur,NOUN,полезный,ADJF,квалификатив,taiga
участков для индивидуального жилищного или дачного строительства гражданам,участков,для,строительства,gent,строительство,sing,NOUN,участок,NOUN,дестинатив,taiga
показателем для фермера,показателем,для,фермера,gent,фермер,sing,NOUN,показатель,NOUN,дестинатив,taiga
недостаточно для достройки тоннеля,недостаточно,для,достройки,gent,достройка,sing,NOUN,недостаточно,ADVB,потенсив,taiga
группы для подкупа чиновников различного ранга,группы,для,подкупа,gent,подкуп,sing,NOUN,группа,NOUN,дестинатив,taiga
усилия для скорейшего устранения последствий аварии,усилия,для,устранения,gent,устранение,sing,NOUN,усилие,NOUN,дестинатив,taiga
документы для участия в выборах в Законодательное собрание Петербурга,документы,для,участия,gent,участие,sing,NOUN,документ,NOUN,дестинатив,taiga
беспрецедентный для Северной столицы,беспрецедентный,для,столицы,gent,столица,sing,NOUN,беспрецедентный,ADJF,квалификатив,taiga
поводом для его госпитализации,поводом,для,госпитализации,gent,госпитализация,sing,NOUN,повод,NOUN,потенсив,taiga
