phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,,,,
режим с ЕС,режим,с,ЕС,gent,ес,sing,NOUN,режим,NOUN,объект,,,,
изъятого с самолета,изъятого,с,самолета,gent,самолёт,sing,NOUN,изъять,PRTF,директив,,,,
вернувшись с работы,вернувшись,с,работы,gent,работа,sing,NOUN,вернуться,GRND,директив,,,,
выезда с заправки ( чтобы прямиком на Миргородскую ),выезда,с,заправки,gent,заправка,sing,NOUN,выезд,NOUN,директив,,,,
фотографии с улиц города через специальную форму,фотографии,с,улиц,gent,улица,plur,NOUN,фотография,NOUN,сурсив,,,,
клуб с трибун,клуб,с,трибун,gent,трибуна,plur,NOUN,клуб,NOUN,директив,,,,
удаления со стройплощадки,удаления,с,стройплощадки,gent,стройплощадка,sing,NOUN,удаление,NOUN,директив,,,,
уйдут с фондового рынка,уйдут,с,рынка,gent,рынок,sing,NOUN,уйти,VERB,директив,,,,
вносится с голоса,вносится,с,голоса,gent,голос,sing,NOUN,вноситься,VERB,каузатив,,,,
пробить с левой,пробить,с,левой,gent,левый,sing,ADJF,пробить,INFN,инструментив,,,,
поворот с внешней стороны МКАД,поворот,с,стороны,gent,сторона,sing,NOUN,поворот,NOUN,директив,,,,
расстается со Шкапина,расстается,с,Шкапина,gent,шкапин,sing,NOUN,расставаться,VERB,объект,,,,
"песни с концерта "" Аквариума "" в Екатеринбурге",песни,с,концерта,gent,концерт,sing,NOUN,песнь,NOUN,сурсив,,,,
упал с YEAR этажа,упал,с,этажа,gent,этаж,sing,NOUN,упасть,VERB,директив,,,,
уйти с работы,уйти,с,работы,gent,работа,sing,NOUN,уйти,INFN,директив,,,,
видео с места аварии,видео,с,места,gent,место,sing,NOUN,видео,NOUN,сурсив,,,,
с YEAR года действует,действует,с,года,gent,год,sing,NOUN,действовать,VERB,темпоратив,,,,
переговоры с главой МИД РФ Сергеем Лавровым,переговоры,с,главой,gent,главый,sing,ADJF,переговоры,NOUN,комитатив,,,,
съехали с горки,съехали,с,горки,gent,горка,sing,NOUN,съехать,VERB,директив,,,,
падение с шестого этажа,падение,с,этажа,gent,этаж,sing,NOUN,падение,NOUN,директив,,,,
видео с вашего выпускного,видео,с,выпускного,gent,выпускной,sing,ADJF,видео,NOUN,сурсив,,,,
находился с YEAR года,находился,с,года,gent,год,sing,NOUN,находиться,VERB,темпоратив,,,,
вытеснить с прилавков,вытеснить,с,прилавков,gent,прилавок,plur,NOUN,вытеснить,INFN,директив,,,,
снятый с рейса NUM мая,снятый,с,рейса,gent,рейс,sing,NOUN,снять,PRTF,трансгрессив,,,,
валик с серебряными и пять палет с золотыми браслетами,валик,с,палет,gent,палета,plur,NOUN,валик,NOUN,комитатив,,,,
композиции с площадей города,композиции,с,площадей,gent,площадь,plur,NOUN,композиция,NOUN,сурсив,,,,
ночь с пятницы на субботу,ночь,с,пятницы,gent,пятница,sing,NOUN,ночь,NOUN,темпоратив,,,,
принесенные с мусорок,принесенные,с,мусорок,gent,мусорока,plur,NOUN,принести,PRTF,сурсив,,,,
иномарки или с десяток машин среднего класса»,иномарки,с,десяток,gent,десятка,plur,NOUN,иномарка,NOUN,квантитатив,,,,
лыжни с двух сторон,лыжни,с,сторон,gent,сторона,plur,NOUN,лыжня,NOUN,директив,,,,
ушедшего со стройки на Савушкина и не вернувшегося до сих пор,ушедшего,с,стройки,gent,стройка,sing,NOUN,уйти,PRTF,директив,,,,
фото с сайта vk.com,фото,с,сайта,gent,сайт,sing,NOUN,фото,NOUN,сурсив,,,,
обращений с зараженных компьютеров - участников атаки,обращений,с,компьютеров,gent,компьютер,plur,NOUN,обращение,NOUN,сурсив,,,,
увеличится с NUM рублей за литр,увеличится,с,рублей,gent,рубль,plur,NOUN,увеличиться,VERB,трансгрессив,,,,
Игрок с февраля YEAR года,Игрок,с,февраля,gent,февраль,sing,NOUN,игрок,NOUN,темпоратив,,,,
рублей с АЖУРа и NUM тысяч рублей с автора статьи,рублей,с,АЖУРа,gent,ажур,sing,NOUN,рубль,NOUN,сурсив,,,,
команды с YEAR года,команды,с,года,gent,год,sing,NOUN,команда,NOUN,темпоратив,,,,
парня с Невского,парня,с,Невского,gent,невский,sing,ADJF,парень,NOUN,сурсив,,,,
дней со дня смерти рядового,дней,с,дня,gent,день,sing,NOUN,день,NOUN,темпоратив,,,,
Крыма с Украины,Крыма,с,Украины,gent,украина,sing,NOUN,крым,NOUN,сурсив,,,,
Видео с аккаунта НХЛ,Видео,с,аккаунта,gent,аккаунт,sing,NOUN,видео,NOUN,сурсив,,,,
Всем со школы,Всем,с,школы,gent,школа,sing,NOUN,весь,ADJF,директив,,,,
ударом с центра поля,ударом,с,центра,gent,центр,sing,NOUN,удар,NOUN,директив,,,,
с YEAR года действует,действует,с,года,gent,год,sing,NOUN,действовать,VERB,темпоратив,,,,
ведется с вертолета Сибирского регионального центра ( СРЦ ) МЧС России,ведется,с,вертолета,gent,вертолёт,sing,NOUN,вестись,VERB,директив,,,,
снять с учета,снять,с,учета,gent,учёт,sing,NOUN,снять,INFN,директив,,,,
упал с высоты,упал,с,высоты,gent,высота,sing,NOUN,упасть,VERB,директив,,,,
изучают со спутника,изучают,с,спутника,gent,спутник,sing,NOUN,изучать,VERB,инструментив,,,,
сообщает с места событий,сообщает,с,места,gent,место,sing,NOUN,сообщать,VERB,директив,,,,
с NUM субботы остановлено,остановлено,с,субботы,gent,суббота,sing,NOUN,остановить,PRTS,темпоратив,,,,
собираем со всей России,собираем,с,России,gent,россия,sing,NOUN,собирать,VERB,сурсив,,,,
поворот с моста Лейтенанта Шмидта на площадь Трезини,поворот,с,моста,gent,мост,sing,NOUN,поворот,NOUN,директив,,,,
с пожертвований платит,платит,с,пожертвований,gent,пожертвование,plur,NOUN,платить,VERB,сурсив,,,,
с первого раза понимаю,понимаю,с,раза,gent,раз,sing,NOUN,понимать,VERB,трансгрессив,,,,
с правовой точки зрения является,является,с,точки,gent,точка,sing,NOUN,являться,VERB,директив,,,,
уход с данного поста,уход,с,поста,gent,пост,sing,NOUN,уход,NOUN,директив,,,,
находится с декабря YEAR года,находится,с,декабря,gent,декабрь,sing,NOUN,находиться,VERB,темпоратив,,,,
вступит с YEAR года,вступит,с,года,gent,год,sing,NOUN,вступить,VERB,темпоратив,,,,
рублей с экс-подрядчика,рублей,с,экс-подрядчика,gent,экс-подрядчик,sing,NOUN,рубль,NOUN,сурсив,,,,
уволена с работы,уволена,с,работы,gent,работа,sing,NOUN,уволить,PRTS,директив,,,,
продан с аукциона,продан,с,аукциона,gent,аукцион,sing,NOUN,продать,PRTS,инструментив,,,,
сбежать с поля боя,сбежать,с,поля,gent,поль,sing,NOUN,сбежать,INFN,директив,,,,
Фото с места ЧП,Фото,с,места,gent,место,sing,NOUN,фото,NOUN,сурсив,,,,
сошли с рельсов,сошли,с,рельсов,gent,рельс,plur,NOUN,сойти,VERB,директив,,,,
с верхних этажей которых открываться,открываться,с,этажей,gent,этаж,plur,NOUN,открываться,INFN,директив,,,,
с YEAR года изменил,изменил,с,года,gent,год,sing,NOUN,изменить,VERB,темпоратив,,,,
с YEAR года вступит,вступит,с,года,gent,год,sing,NOUN,вступить,VERB,темпоратив,,,,
с этого времени и до окончания наплыва пассажиров работают,работают,с,времени,gent,время,sing,NOUN,работать,VERB,темпоратив,,,,
уходит с поля,уходит,с,поля,gent,поль,sing,NOUN,уходить,VERB,директив,,,,
ждут с ГТК,ждут,с,ГТК,gent,гтк,sing,NOUN,ждать,VERB,сурсив,,,,
с первого января YEAR года осуществляться,осуществляться,с,января,gent,январь,sing,NOUN,осуществляться,INFN,темпоратив,,,,
Начинала с производства женской одежды и аксессуаров,Начинала,с,производства,gent,производство,sing,NOUN,начинать,VERB,трансгрессив,,,,
Армейцы с Невы,Армейцы,с,Невы,gent,нева,sing,NOUN,армеец,NOUN,сурсив,,,,
съехать с моста,съехать,с,моста,gent,мост,sing,NOUN,съехать,INFN,директив,,,,
скрылись с места преступления,скрылись,с,места,gent,место,sing,NOUN,скрыться,VERB,директив,,,,
сделать со стороны гостиницы Ленинградская,сделать,с,гостиницы,gent,гостиница,sing,NOUN,сделать,INFN,директив,,,,
начинается с обороны,начинается,с,обороны,gent,оборона,sing,NOUN,начинаться,VERB,трансгрессив,,,,
действительны со дня выдачи,действительны,с,дня,gent,день,sing,NOUN,действительный,ADJS,темпоратив,,,,
с детства люблю,люблю,с,детства,gent,детство,sing,NOUN,любить,VERB,темпоратив,,,,
«даже с обывательской точки зрения неправильно»,даже,с,точки,gent,точка,sing,NOUN,дажа,NOUN,директив,,,,
начали со звона,начали,с,звона,gent,звон,sing,NOUN,начать,VERB,трансгрессив,,,,
прикрыть с воздуха,прикрыть,с,воздуха,gent,воздух,sing,NOUN,прикрыть,INFN,директив,,,,
отряде с YEAR года,отряде,с,года,gent,год,sing,NOUN,отряд,NOUN,темпоратив,,,,
с чего начинается,начинается,с,чего,gent,что,sing,NPRO,начинаться,VERB,трансгрессив,,,,
припустил от конвоя,припустил,от,конвоя,gent,конвой,sing,NOUN,припустить,VERB,директив,,,,
взвизгнула от восторга,взвизгнула,от,восторга,gent,восторг,sing,NOUN,взвизгнуть,VERB,каузатив,,,,
от какого лакомства отказался,отказался,от,лакомства,gent,лакомство,sing,NOUN,отказаться,VERB,потенсив,,,,
ставит от колебания курса валют,ставит,от,колебания,gent,колебание,sing,NOUN,ставить,VERB,каузатив,,,,
предложения от крупных российских клубов,предложения,от,клубов,gent,клуб,plur,NOUN,предложение,NOUN,сурсив,,,,
воздерживается от каких-либо комментариев,воздерживается,от,комментариев,gent,комментарий,plur,NOUN,воздерживаться,VERB,потенсив,,,,
чиновники от здравоохранения,чиновники,от,здравоохранения,gent,здравоохранение,sing,NOUN,чиновник,NOUN,сурсив,,,,
отключать от электричества,отключать,от,электричества,gent,электричество,sing,NOUN,отключать,INFN,потенсив,,,,
от госпитализации отказался,отказался,от,госпитализации,gent,госпитализация,sing,NOUN,отказаться,VERB,потенсив,,,,
осуществляет от украинской до российской границы со стороны постов Чонгар и Джанкой,осуществляет,от,украинской,gent,украинский,sing,ADJF,осуществлять,VERB,директив,,,,
от людей торчат,торчат,от,людей,gent,человек,plur,NOUN,торчать,VERB,сурсив,,,,
"Кандидат от "" Единой России """,Кандидат,от,России,gent,россия,sing,NOUN,кандидат,NOUN,сурсив,,,,
делегацию от своей страны,делегацию,от,страны,gent,страна,sing,NOUN,делегация,NOUN,сурсив,,,,
получило от правительства Петербурга в апреле YEAR года,получило,от,правительства,gent,правительство,sing,NOUN,получить,VERB,сурсив,,,,
собранных от продажи билетов на чемпионат мира по фехтованию,собранных,от,продажи,gent,продажа,sing,NOUN,собранный,ADJF,сурсив,,,,
избранник от ЛДПР,избранник,от,ЛДПР,gent,лдпр,sing,NOUN,избранник,NOUN,сурсив,,,,
"погибших от урагана "" Сэнди """,погибших,от,урагана,gent,ураган,sing,NOUN,погибший,ADJF,каузатив,,,,
Сенатор от Республиканской партии,Сенатор,от,партии,gent,партия,sing,NOUN,сенатор,NOUN,квалификатив,,,,
от вопроса о размере и мере ответственности уклоняются,уклоняются,от,вопроса,gent,вопрос,sing,NOUN,уклоняться,VERB,потенсив,,,,
уклонение от подписания,уклонение,от,подписания,gent,подписание,sing,NOUN,уклонение,NOUN,потенсив,,,,
освободить от обязанностей члена этого комитета»,освободить,от,обязанностей,gent,обязанность,plur,NOUN,освободить,INFN,потенсив,,,,
получил от Агентства страхования вкладов ( АСВ ),получил,от,Агентства,gent,агентство,sing,NOUN,получить,VERB,сурсив,,,,
оторвалось от земли,оторвалось,от,земли,gent,земля,sing,NOUN,оторваться,VERB,директив,,,,
отказался от идеи введения дополнительного налога на доходы по банковским вкладам,отказался,от,идеи,gent,идея,sing,NOUN,отказаться,VERB,потенсив,,,,
от его продления отказался,отказался,от,продления,gent,продление,sing,NOUN,отказаться,VERB,потенсив,,,,
оказались от возможности приобрести или продать краденые или фальшивые предметы,оказались,от,возможности,gent,возможность,sing,NOUN,оказаться,VERB,потенсив,,,,
от гибели спасены,спасены,от,гибели,gent,гибель,sing,NOUN,спасти,PRTS,потенсив,,,,
потерпели от американцев,потерпели,от,американцев,gent,американец,plur,NOUN,потерпеть,VERB,каузатив,,,,
"поступил от испанской "" Барселоны """,поступил,от,Барселоны,gent,барселона,sing,NOUN,поступить,VERB,сурсив,,,,
вакцинация от сезонного гриппа,вакцинация,от,гриппа,gent,грипп,sing,NOUN,вакцинация,NOUN,потенсив,,,,
избавиться от улик,избавиться,от,улик,gent,улика,plur,NOUN,избавиться,INFN,потенсив,,,,
отрезан от остальных районов из-за выхода из берегов протекающей неподалеку реки,отрезан,от,районов,gent,район,plur,NOUN,отрезать,PRTS,директив,,,,
от этой идеи отказались,отказались,от,идеи,gent,идея,sing,NOUN,отказаться,VERB,потенсив,,,,
отказаться от ограничений на размещение вооруженных сил на собственной территории,отказаться,от,ограничений,gent,ограничение,plur,NOUN,отказаться,INFN,потенсив,,,,
поступила от правоцентристского правительства Испании,поступила,от,правительства,gent,правительство,sing,NOUN,поступить,VERB,сурсив,,,,
эффект от безвизового въезда для организованных групп,эффект,от,въезда,gent,въезд,sing,NOUN,эффект,NOUN,каузатив,,,,
от распоряжения премьера до заезда первой фуры в трюм парома должно,должно,от,распоряжения,gent,распоряжение,sing,NOUN,должный,ADJS,темпоратив,,,,
пострадавших от наводнения,пострадавших,от,наводнения,gent,наводнение,sing,NOUN,пострадавший,NOUN,каузатив,,,,
отделился от разгонного блока «Бриз-М»,отделился,от,блока,gent,блок,sing,NOUN,отделиться,VERB,директив,,,,
подорожало от счетчика,подорожало,от,счетчика,gent,счётчик,sing,NOUN,подорожать,VERB,каузатив,,,,
ущерб от пожара,ущерб,от,пожара,gent,пожар,sing,NOUN,ущерб,NOUN,каузатив,,,,
"Депутат от "" Справедливой России """,Депутат,от,России,gent,россия,sing,NOUN,депутат,NOUN,сурсив,,,,
ждет от следствия в рамках дела против него о неуплате налогов,ждет,от,следствия,gent,следствие,sing,NOUN,ждать,VERB,сурсив,,,,
освобождаются от уплаты налога на прибыль,освобождаются,от,уплаты,gent,уплата,sing,NOUN,освобождаться,VERB,потенсив,,,,
отказались от идеи превратить авиакомпанию в низкобюджетного перевозчика,отказались,от,идеи,gent,идея,sing,NOUN,отказаться,VERB,потенсив,,,,
получить от дигитализации клиентского опыта,получить,от,дигитализации,gent,дигитализация,sing,NOUN,получить,INFN,каузатив,,,,
отдираю от плеч кусочки кожи,отдираю,от,плеч,gent,плечо,plur,NOUN,отдирать,VERB,директив,,,,
летом от призыва,летом,от,призыва,gent,призыв,sing,NOUN,летом,ADVB,потенсив,,,,
возникает от невежества,возникает,от,невежества,gent,невежество,sing,NOUN,возникать,VERB,каузатив,,,,
освобождается от уголовной ответственности,освобождается,от,ответственности,datv,ответственность,sing,NOUN,освобождаться,VERB,потенсив,,,,
от нас требуют,требуют,от,нас,gent,мы,plur,NPRO,требовать,VERB,сурсив,,,,
полученных от незаконной деятельности,полученных,от,деятельности,gent,деятельность,sing,NOUN,получить,PRTF,сурсив,,,,
Вакцины от вируса,Вакцины,от,вируса,gent,вирус,sing,NOUN,вакцина,NOUN,потенсив,,,,
скрывал от руководства авиакомпании,скрывал,от,руководства,gent,руководство,sing,NOUN,скрывать,VERB,объект,,,,
воздержатся от поставок крупномасштабных систем вооружений и от наличной помощи правительству,воздержатся,от,поставок,gent,поставка,plur,NOUN,воздержаться,VERB,потенсив,,,,
от такого решения станет,станет,от,решения,gent,решение,sing,NOUN,стать,VERB,каузатив,,,,
ждем от него,ждем,от,него,gent,он,sing,NPRO,ждать,VERB,сурсив,,,,
от их получения разместить,разместить,от,получения,gent,получение,sing,NOUN,разместить,INFN,каузатив,,,,
работ от NUM заказчиков,работ,от,заказчиков,gent,заказчик,plur,NOUN,работа,NOUN,сурсив,,,,
воздержаться от строительства небоскреба в Красногвардейском районе Петербурга,воздержаться,от,строительства,gent,строительство,sing,NOUN,воздержаться,INFN,потенсив,,,,
отказался от взятки,отказался,от,взятки,gent,взятка,sing,NOUN,отказаться,VERB,потенсив,,,,
причитающееся от государства,причитающееся,от,государства,gent,государство,sing,NOUN,причитаться,PRTF,сурсив,,,,
кандидатам от оппозиции,кандидатам,от,оппозиции,gent,оппозиция,sing,NOUN,кандидат,NOUN,сурсив,,,,
метров от вестибюля станций метро,метров,от,вестибюля,gent,вестибюль,sing,NOUN,метр,NOUN,директив,,,,
"отказался от идеи приобретения центрального защитника "" Порту "" и сборной Португалии Роланду",отказался,от,идеи,gent,идея,sing,NOUN,отказаться,VERB,потенсив,,,,
характеристики от оборонного предприятия «Заслон» и от Ростеха,характеристики,от,предприятия,gent,предприятие,sing,NOUN,характеристика,NOUN,сурсив,,,,
от тебя ждет,ждет,от,тебя,accs,ты,sing,NPRO,ждать,VERB,сурсив,,,,
колонны от майдана Незалежности,колонны,от,майдана,gent,майдан,sing,NOUN,колонна,NOUN,директив,,,,
депутаты от правящей партии,депутаты,от,партии,gent,партия,sing,NOUN,депутат,NOUN,сурсив,,,,
направятся от конечного пункта,направятся,от,пункта,gent,пункт,sing,NOUN,направиться,VERB,директив,,,,
комиссионных от суммы контракта,комиссионных,от,суммы,gent,сумма,sing,NOUN,комиссионный,ADJF,квантитатив,,,,
"Депутаты от "" Единой России """,Депутаты,от,России,gent,россия,sing,NOUN,депутат,NOUN,сурсив,,,,
скрываться от полиции,скрываться,от,полиции,gent,полиция,sing,NOUN,скрываться,INFN,потенсив,,,,
процентов от совокупного семейного дохода клиентов банка,процентов,от,дохода,gent,доход,sing,NOUN,процент,NOUN,квантитатив,,,,
скончался от ножевых ранений,скончался,от,ранений,gent,ранение,plur,NOUN,скончаться,VERB,каузатив,,,,
отличаться от этих оценок,отличаться,от,оценок,gent,оценка,plur,NOUN,отличаться,INFN,квалификатив,,,,
лечение от которых,лечение,от,которых,gent,который,plur,ADJF,лечение,NOUN,потенсив,,,,
уклоняющихся от явки в суд,уклоняющихся,от,явки,gent,явка,sing,NOUN,уклоняться,PRTF,потенсив,,,,
отказаться от съемок,отказаться,от,съемок,gent,съёмка,plur,NOUN,отказаться,INFN,потенсив,,,,
отличить от обычного парня,отличить,от,парня,gent,парень,sing,NOUN,отличить,INFN,квалификатив,,,,
микрорайоны от Компании ЛЭК,микрорайоны,от,Компании,gent,компания,sing,NOUN,микрорайон,NOUN,сурсив,,,,
отказа от дальнейшего выпуска программы,отказа,от,выпуска,gent,выпуск,sing,NOUN,отказ,NOUN,потенсив,,,,
требовали от властей,требовали,от,властей,gent,власть,plur,NOUN,требовать,VERB,сурсив,,,,
стоят от NUM тысяч рублей за метр,стоят,от,тысяч,gent,тысяча,plur,NOUN,стоять,VERB,квантитатив,,,,
число от страны,число,от,страны,gent,страна,sing,NOUN,число,NOUN,квантитатив,,,,
ожидается от нуля до NUM градусов тепла,ожидается,от,нуля,gent,нуль,sing,NOUN,ожидаться,VERB,квантитатив,,,,
разные от подброшенного яда до стрельбы из травматики,разные,от,яда,gent,яд,sing,NOUN,разный,ADJF,квантитатив,,,,
поступила от москвичей,поступила,от,москвичей,gent,москвич,plur,NOUN,поступить,VERB,сурсив,,,,
уклонился от военной службы,уклонился,от,службы,gent,служба,sing,NOUN,уклониться,VERB,потенсив,,,,
отказывается от этой возможности в будущем,отказывается,от,возможности,gent,возможность,sing,NOUN,отказываться,VERB,потенсив,,,,
от полученного ранения скончался,скончался,от,ранения,gent,ранение,sing,NOUN,скончаться,VERB,каузатив,,,,
грозит от NUM лет тюрьмы,грозит,от,лет,gent,год,plur,NOUN,грозить,VERB,темпоратив,,,,
процентов от всего предложения на рынке,процентов,от,предложения,gent,предложение,sing,NOUN,процент,NOUN,квантитатив,,,,
отказываться от претензий к Оливейре,отказываться,от,претензий,gent,претензия,plur,NOUN,отказываться,INFN,потенсив,,,,
ходит от улицы Жени Егоровой,ходит,от,улицы,gent,улица,sing,NOUN,ходить,VERB,директив,,,,
освобожден от занимаемой должности,освобожден,от,должности,loct,должность,sing,NOUN,освободить,PRTS,потенсив,,,,
отошел от этих перелетов,отошел,от,перелетов,gent,перелёт,plur,NOUN,отойти,VERB,директив,,,,
потребует от города значительных инвестиций,потребует,от,города,gent,город,sing,NOUN,потребовать,VERB,сурсив,,,,
от них требуем,требуем,от,них,gent,они,plur,NPRO,требовать,VERB,сурсив,,,,
предложений от всех конфессий по посмертному донорству,предложений,от,конфессий,gent,конфессия,plur,NOUN,предложение,NOUN,сурсив,,,,
повсюду - от дома своего друга в Нью-Джерси до студий в Лас-Вегасе и Лос-Анджелесе,повсюду,от,дома,gent,дом,sing,NOUN,повсюду,ADVB,директив,,,,
защититься от попыток снести их дома для «нужд государевых»,защититься,от,попыток,gent,попытка,plur,NOUN,защититься,INFN,потенсив,,,,
Спасаясь от преследований американских властей,Спасаясь,от,преследований,gent,преследование,plur,NOUN,спасаться,GRND,потенсив,,,,
Толку от этого,Толку,от,этого,gent,это,sing,NPRO,толк,NOUN,каузатив,,,,
порожденные в основном писательским словом – от Лажечникова,порожденные,от,Лажечникова,gent,лажечников,sing,NOUN,породить,PRTF,директив,,,,
отставал от своего конкурента,отставал,от,конкурента,gent,конкурент,sing,NOUN,отставать,VERB,директив,,,,
освобождала от обязанности,освобождала,от,обязанности,gent,обязанность,sing,NOUN,освобождать,VERB,потенсив,,,,
"больше от "" доступной среды "" в общественном транспорте",больше,от,среды,gent,среда,sing,NOUN,большой,COMP,каузатив,,,,
Ребенок от полученных травм,Ребенок,от,травм,gent,травма,plur,NOUN,ребёнок,NOUN,каузатив,,,,
от нее разило,разило,от,нее,datv,нея,sing,NOUN,разить,VERB,сурсив,,,,
помощь от американских прокуроров в этом вопросе,помощь,от,прокуроров,gent,прокурор,plur,NOUN,помощь,NOUN,сурсив,,,,
пострадал от взрывной волны,пострадал,от,волны,gent,волна,sing,NOUN,пострадать,VERB,каузатив,,,,
от которых скончался,скончался,от,которых,gent,который,plur,ADJF,скончаться,VERB,каузатив,,,,
открестился от планов продавать свою долю в социальной сети,открестился,от,планов,gent,план,plur,NOUN,откреститься,VERB,потенсив,,,,
кредиты от структур Бориса Минца,кредиты,от,структур,gent,структура,plur,NOUN,кредит,NOUN,сурсив,,,,
скрываться от российского правосудия в Эстонии,скрываться,от,правосудия,gent,правосудие,sing,NOUN,скрываться,INFN,потенсив,,,,
отрезанными от суши,отрезанными,от,суши,ablt,суши,plur,NOUN,отрезать,PRTF,директив,,,,
получает от солнечной панели,получает,от,панели,gent,панель,sing,NOUN,получать,VERB,сурсив,,,,
отстранения от власти,отстранения,от,власти,gent,власть,sing,NOUN,отстранение,NOUN,потенсив,,,,
от них уйдёт,уйдёт,от,них,gent,они,plur,NPRO,уйти,VERB,директив,,,,
скончался от инфаркта,скончался,от,инфаркта,gent,инфаркт,sing,NOUN,скончаться,VERB,каузатив,,,,
процента от их общего числа,процента,от,числа,gent,число,sing,NOUN,процент,NOUN,квантитатив,,,,
отличны от мировой театральной среды,отличны,от,среды,gent,среда,sing,NOUN,отличный,ADJS,квалификатив,,,,
требуют от властей,требуют,от,властей,gent,власть,plur,NOUN,требовать,VERB,сурсив,,,,
отписки от подчиненных Вам чиновников и их секретарей,отписки,от,подчиненных,gent,подчинённый,plur,ADJF,отписка,NOUN,сурсив,,,,
проездом от Детской улицы,проездом,от,улицы,gent,улица,sing,NOUN,проездом,ADVB,директив,,,,
умерла от удушения,умерла,от,удушения,gent,удушение,sing,NOUN,умереть,VERB,каузатив,,,,
оградить от возможного возмездия преступных группировок,оградить,от,возмездия,gent,возмездие,sing,NOUN,оградить,INFN,потенсив,,,,
подальше от батарей и других отопительных приборов,подальше,от,батарей,gent,батарея,plur,NOUN,далёкий,COMP,директив,,,,
ожиданиями от предстоящего этапа Гран-при в Москве,ожиданиями,от,этапа,gent,этап,sing,NOUN,ожидание,NOUN,сурсив,,,,
скончался от огнестрельного ранения,скончался,от,ранения,gent,ранение,sing,NOUN,скончаться,VERB,каузатив,,,,
узнали от арендаторов,узнали,от,арендаторов,gent,арендатор,plur,NOUN,узнать,VERB,сурсив,,,,
играли от обороны,играли,от,обороны,gent,оборона,sing,NOUN,играть,VERB,дестинатив,,,,
завершилось от иска,завершилось,от,иска,gent,иск,sing,NOUN,завершиться,VERB,каузатив,,,,
отвлекся от проблем сохранения исторического облика Москвы,отвлекся,от,проблем,gent,проблема,plur,NOUN,отвлечься,VERB,потенсив,,,,
запросила от NUM лет,запросила,от,лет,gent,год,plur,NOUN,запросить,VERB,темпоратив,,,,
процентов от общей рекламной площади,процентов,от,площади,loct,площадь,sing,NOUN,процент,NOUN,квантитатив,,,,
Ниссана от полученных травм,Ниссана,от,травм,gent,травма,plur,NOUN,ниссан,NOUN,каузатив,,,,
происходит от хорошей жизни,происходит,от,жизни,gent,жизнь,sing,NOUN,происходить,VERB,каузатив,,,,
жителя от ранения шеи,жителя,от,ранения,gent,ранение,sing,NOUN,житель,NOUN,каузатив,,,,
отходя от Медного всадника,отходя,от,всадника,gent,всадник,sing,NOUN,отходить,GRND,директив,,,,
далеко от близких,далеко,от,близких,gent,близкие,plur,NOUN,далеко,ADVB,директив,,,,
отказались от участия в выставке,отказались,от,участия,gent,участие,sing,NOUN,отказаться,VERB,потенсив,,,,
"ущерб от "" визита "" злоумышленников",ущерб,от,визита,gent,визит,sing,NOUN,ущерб,NOUN,каузатив,,,,
уйти от уголовной ответственности .,уйти,от,ответственности,datv,ответственность,sing,NOUN,уйти,INFN,потенсив,,,,
узнал от архангелогородцев,узнал,от,архангелогородцев,gent,архангелогородец,plur,NOUN,узнать,VERB,сурсив,,,,
ходить от станции метро,ходить,от,станции,loct,станция,sing,NOUN,ходить,INFN,директив,,,,
требуют от властей,требуют,от,властей,gent,власть,plur,NOUN,требовать,VERB,сурсив,,,,
отказаться от изображения,отказаться,от,изображения,gent,изображение,sing,NOUN,отказаться,INFN,потенсив,,,,
вопросы от избирателей,вопросы,от,избирателей,gent,избиратель,plur,NOUN,вопрос,NOUN,сурсив,,,,
Заявки от потенциальных участников,Заявки,от,участников,gent,участник,plur,NOUN,заявка,NOUN,сурсив,,,,
спасают от жары,спасают,от,жары,gent,жара,sing,NOUN,спасать,VERB,потенсив,,,,
отойти от удара,отойти,от,удара,gent,удар,sing,NOUN,отойти,INFN,директив,,,,
принятие от уплаты налога на имущество организаций»,принятие,от,уплаты,gent,уплата,sing,NOUN,принятие,NOUN,сурсив,,,,
пострадавших от действия пожара в Ленинском районе Астрахани,пострадавших,от,действия,gent,действие,sing,NOUN,пострадавший,NOUN,каузатив,,,,
защищаться от подзащитной,защищаться,от,подзащитной,gent,подзащитная,sing,NOUN,защищаться,INFN,потенсив,,,,
заказ от спортивного клуба,заказ,от,клуба,gent,клуб,sing,NOUN,заказ,NOUN,сурсив,,,,
запросил от английской ветеринарной службы,запросил,от,службы,gent,служба,sing,NOUN,запросить,VERB,сурсив,,,,
отправление от Обводного канала,отправление,от,канала,gent,канал,sing,NOUN,отправление,NOUN,директив,,,,
получила за то же самое от страховой компании,получила,от,компании,gent,компания,sing,NOUN,получить,VERB,сурсив,,,,
от него решено,решено,от,него,gent,он,sing,NPRO,решить,PRTS,сурсив,,,,
расстояния от учебного или социального учреждения,расстояния,от,учреждения,gent,учреждение,sing,NOUN,расстояние,NOUN,директив,,,,
избавляться от валюты,избавляться,от,валюты,gent,валюта,sing,NOUN,избавляться,INFN,потенсив,,,,
стало от военнослужащего части,стало,от,военнослужащего,gent,военнослужащий,sing,ADJF,стать,VERB,сурсив,,,,
освобожден от должности,освобожден,от,должности,loct,должность,sing,NOUN,освободить,PRTS,потенсив,,,,
документов от следствия,документов,от,следствия,gent,следствие,sing,NOUN,документ,NOUN,сурсив,,,,
