prep_1,case_1,prep_2,case_2,label
вне зависимости от,род,под началом,род,ситуатив
вне пределов,род,с,твор,тематив
вне пределов,род,внутри,род,локатив
вне пределов,род,внутри,род,тематив
вне пути,род,по пути на,вин,
вне рамок,род,внутри,род,локатив
вне рамок,род,внутри,род,тематив
вне рамок,род,с,твор,тематив
вне связи с,твор,на тему,род,тематив
вне сути,род,по существу,род,тематив
вне сферы,род,с,твор,тематив
вне сферы,род,внутри,род,тематив
внизу,род,сверх,род,локатив
внизу,род,сверху,род,локатив
внутри,род,за границей,род,локатив
внутри,род,снаружи,род,локатив
внутри,род,помимо,род,
внутри,род,за пределами,род,локатив
внутри,род,за границами,род,локатив
внутри,род,за рубежом,род,локатив
во,вин,позднее,род,темпоратив
во вред,дат,на благо,род,дестинатив
во вред,дат,на благо,дат,дестинатив
вовне,род,посерёдке,род,локатив
вовне,род,посереди,род,локатив
вовне,род,посреди,род,локатив
вовне,род,посредине,род,локатив
вовне,род,посередь,род,локатив
вовне,род,посередине,род,локатив
вокруг,род,меж,твор,локатив
вопреки настояниям,род,по просьбе,род,ситуатив
вопреки парадигме,род,по примеру,род,ситуатив
вопреки примеру,род,по примеру,род,ситуатив
вопреки просьбе,род,по просьбе,род,ситуатив
вопреки прошению,род,по просьбе,род,ситуатив
вопреки сути,род,по существу,род,ситуатив
вопреки ходтайству,род,по просьбе,род,ситуатив
впереди,род,назади,род,локатив
вперёд,род,назад,род,локатив
вплотную к,дат,далеко от,род,локатив
вплоть к,дат,далеко от,род,локатив
вплоть у,род,далеко от,род,локатив
впоследствии,род,преж,род,темпоратив
впоследствии,род,прежде,род,темпоратив
вправо от,род,слева от,род,
впредь до,род,начиная с,род,квантитатив
вразрез,дат,под стать,дат,квалификатив
вразрез,дат,под тон,дат,квалификатив
вразрез,дат,под углом,род,тематив
вразрез,дат,под тон,род,квалификатив
вскоре после,род,задолго до,род,темпоратив
встречу,дат,обратно от,род,директив
встречу,дат,от,род,директив
выше,род,ниже,род,квалификатив
выше,род,ниже,род,квантитатив
выше,род,ниже,род,локатив
выше,род,за,твор,
выше,род,за,вин,
далеко до,род,поблизости,род,локатив
далеко от,род,обок,род,локатив
далеко от,род,у ворот,род,локатив
далеко от,род,неподалёку от,род,локатив
далеко от,род,около,род,локатив
далеко от,род,округ,род,локатив
далеко от,род,у ног,род,локатив
далеко от,род,под носом у,род,локатив
далеко от,род,наравне с,твор,квалификатив
далеко от,род,у стен,род,локатив
далековато от,род,поблизости,род,локатив
далече до,род,поблизости,род,локатив
далече от,род,под носом у,род,локатив
дальше до,род,поблизости,род,локатив
для,род,против,род,дестинатив
для,род,противу,род,дестинатив
до,род,позднее,род,темпоратив
до,род,начиная от,род,квантитатив
до,род,после,род,темпоратив
до,род,на протяжении,род,темпоратив
до,род,начиная с,род,темпоратив
до,род,начиная с,род,квантитатив
до конца,род,с начала,род,темпоратив
до момента,род,с момента,род,темпоратив
до окончания,род,с начала,род,темпоратив
за,твор,поперёд,род,локатив
за,твор,прежде,род,локатив
за,твор,поперёк,род,локатив
за,твор,супротив,род,локатив
за,твор,преж,род,локатив
за версту от,род,под носом у,род,локатив
за пределами,род,посерёдке,род,локатив
за пределами,род,посередь,род,локатив
за пределами,род,посреди,род,локатив
за пределами,род,посредине,род,локатив
за пределами,род,посередине,род,локатив
за пределами,род,посереди,род,локатив
за семь верст от,род,под носом у,род,локатив
за семью морями от,род,под носом у,род,локатив
за тридевять земель от,род,под носом у,род,локатив
задолго до,род,на пороге,род,темпоратив
задолго до,род,незадолго до,род,темпоратив
из подчинения,род,под каблук,род,трансгрессив
из подчинения,дат,под каблук,род,трансгрессив
из числа,род,снаружи,род,квалификатив
из-за,род,против,род,
из-за,род,противу,род,
из-за,род,противно,дат,
из-под власти,род,под каблук,род,трансгрессив
из-под власти,род,под каблуком,род,ситуатив
из-под защиты,род,под крыло,род,трансгрессив
из-под знамен,род,под знамёна,род,трансгрессив
из-под каблука,род,под каблуком,род,ситуатив
из-под контроля,род,под контроль,род,трансгрессив
из-под контроля,род,под каблук,род,трансгрессив
из-под крыла,род,под крыло,род,трансгрессив
из-под наблюдения,род,под контроль,род,трансгрессив
из-под надзора,род,под контроль,род,трансгрессив
из-под опеки,род,под крыло,род,трансгрессив
из-под покровительства,род,под крыло,род,трансгрессив
из-под пяты,род,под каблуком,род,ситуатив
из-под управления,род,под контроль,род,трансгрессив
изнутри,род,снаружи,род,локатив
к концу,род,к началу,род,темпоратив
к концу,род,к середине,род,темпоратив
к концу,род,на начало,род,темпоратив
к началу,род,под конец,род,темпоратив
к началу,род,под занавес,род,темпоратив
к началу,род,к середине,род,темпоратив
к началу,род,на финише,род,темпоратив
к неудовольствию,род,на радость,род,дестинатив
к позору,род,к чести,род,дестинатив
к середине,род,под конец,род,темпоратив
к стыду,род,к чести,род,дестинатив
как до Луны от,род,под носом у,род,локатив
кроме,род,посереди,род,
кроме,род,посередь,род,
кроме,род,посередине,род,
кроме,род,посредине,род,
кроме,род,посреди,род,
кроме,род,посерёдке,род,
левее от,род,с правой стороны от,род,локатив
левее от,род,правее,род,локатив
лицом к,дат,спиной к,дат,локатив
лицом к лицу с,твор,спиной к спине с,предл,локатив
между,твор,сбоку,род,локатив
между,твор,сбоку от,род,локатив
между,твор,снаружи,род,локатив
мимо,род,точно в,вин,директив
минус,им,плюс,им,комитатив
на большом расстоянии от,род,под носом у,род,локатив
на виду у,род,скрываясь от,род,ситуатив
на глазах,род,скрываясь от,род,ситуатив
на глазах у,род,скрываясь от,род,ситуатив
на конец,род,на начало,род,темпоратив
на одинаковых условиях с,твор,помимо,род,комитатив
на окраине,род,посерёдке,род,локатив
на окраине,род,посредине,род,локатив
на окраине,род,посередине,род,локатив
на окраине,род,посереди,род,локатив
на окраине,род,посередь,род,локатив
на окраине,род,посреди,род,локатив
на периферии,род,посредине,род,локатив
на периферии,род,посреди,род,локатив
на периферии,род,посередь,род,локатив
на периферии,род,посередине,род,локатив
на периферии,род,посерёдке,род,локатив
на периферии,род,посереди,род,локатив
на почтительном расстоянии от,род,под носом у,род,локатив
на протяжении,род,после,род,темпоратив
на радость,дат,назло,дат,дестинатив
на уровне,род,не на уровне,род,квалификатив
на уровне,род,не соответствуя,дат,квалификатив
навстречу,дат,от,род,директив
навстречу,дат,прочь от,род,директив
назад,вин,через,вин,темпоратив
назад,вин,спустя,вин,темпоратив
назади,род,спереди,род,локатив
налево от,род,по правую руку от,род,локатив
налево от,род,справа от,род,локатив
налево от,род,направо от,род,локатив
налево от,род,по правую сторону от,род,локатив
налево от,род,с правой стороны от,род,локатив
направо от,род,слева от,род,локатив
наравне с,твор,помимо,род,комитатив
не под лад,дат,под стать,дат,квалификатив
не под масть,дат,под стать,дат,квалификатив
не под стать,дат,под стать,дат,квалификатив
несмотря на,вин,при помощи,род,
не считаясь с,твор,под тон,дат,квалификатив
не считаясь с,твор,под углом,род,квалификатив
не считаясь с,твор,под тон,род,квалификатив
не считаясь с,твор,под стать,дат,квалификатив
неблизко до,род,поблизости,род,локатив
ниже,род,через,вин,
ниже чем,им,превыше,род,квалификатив
одаль от,род,под носом у,род,локатив
одинаково с,твор,помимо,род,квалификатив
одновременно с,твор,помимо,род,квалификатив
около,род,поодаль от,род,локатив
от путей,род,по пути на,вин,
от стези,род,по пути на,вин,
перед,твор,после,род,темпоратив
по,дат,супротив,род,локатив
по,дат,поперёк,род,локатив
по,дат,противу,род,локатив
по,дат,против,род,локатив
по принципу,род,против принципа,род,квалификатив
по пути на,вин,поперек пути,род,
по существу,род,помимо существа,род,
по ходу,род,против течения,род,директив
поверх,род,под,твор,локатив
поверх,род,снизу,род,локатив
поверху,род,снизу,род,локатив
под,твор,посверху,род,локатив
под носом у,род,поодаль от,род,локатив
под стать,дат,супротивно,дат,квалификатив
позднее,род,прежде,род,темпоратив
позднее,род,ранее,род,темпоратив
позднее,род,раньше,род,темпоратив
позднее,род,преж,род,темпоратив
позже,род,преж,род,темпоратив
позже,род,прежде,род,темпоратив
помимо,род,при,предл,комитатив
помимо,род,с,твор,комитатив
поодаль от,род,рядышком с,твор,локатив
поодаль от,род,при,предл,локатив
поперед,род,после,род,темпоратив
поперед,род,после,род,локатив
поперёд,род,после,род,темпоратив
поперёд,род,после,род,локатив
поперёд,род,с,твор,темпоратив
посереди,род,сбоку,род,локатив
посереди,род,снаружи,род,локатив
посереди,род,с внешней стороны,род,локатив
посереди,род,с краю,род,локатив
посереди,род,скраю,род,локатив
посередине,род,скраю,род,локатив
посередине,род,с краю,род,локатив
посередине,род,сбоку,род,локатив
посередине,род,снаружи,род,локатив
посередине,род,с внешней стороны,род,локатив
посередине,род,сбоку от,род,локатив
посередь,род,с внешней стороны,род,локатив
посередь,род,сбоку,род,локатив
посередь,род,с краю,род,локатив
посередь,род,скраю,род,локатив
посередь,род,снаружи,род,локатив
посерёдке,род,с внешней стороны,род,локатив
посерёдке,род,сбоку,род,локатив
посерёдке,род,с краю,род,локатив
посерёдке,род,скраю,род,локатив
посерёдке,род,снаружи,род,локатив
после,род,преж,род,темпоратив
после,род,ранее,род,темпоратив
после,род,пред,твор,темпоратив
после,род,раньше,род,темпоратив
после,род,прежде,род,темпоратив
посреди,род,скраю,род,локатив
посреди,род,сбоку,род,локатив
посреди,род,с внешней стороны,род,локатив
посреди,род,с краю,род,локатив
посреди,род,сбоку от,род,локатив
посреди,род,снаружи,род,локатив
посредине,род,сбоку,род,локатив
посредине,род,снаружи,род,локатив
посредине,род,с внешней стороны,род,локатив
посредине,род,скраю,род,локатив
посредине,род,с краю,род,локатив
преж,род,спустя,вин,темпоратив
прежде,род,спустя,вин,темпоратив
при помощи,род,противно,дат,
при помощи,род,противу,род,
при помощи,род,против,род,
при посредстве,род,противно,дат,
при посредстве,род,против,род,
при посредстве,род,противу,род,
сбоку,род,снизу,род,локатив
сбоку,род,сверх,род,локатив
сбоку,род,сверху,род,локатив
сверх,род,снизу,род,локатив
сверху,род,снизу,род,локатив
слева от,род,справа от,род,локатив
снаружи,род,среди,род,локатив
в сопровождении,род,без,род,квалификатив
не без,род,без,род,квалификатив
вопреки,дат,благодаря,дат,каузатив
несмотря на,вин,благодаря,дат,каузатив
наперекор,дат,благодаря,дат,каузатив
невзирая на,вин,в зависимости от,род,каузатив
независимо от,род,в зависимости от,род,каузатив
наперекор,дат,в соответствии с,твор,квалификатив
несмотря на,вин,в соответствии с,твор,квалификатив
невзирая на,вин,в соответствии с,твор,квалификатив
без,род,в сопровождении,род,комитатив
за исключением,род,в течение,род,темпоратив
исключая,вин,в течение,род,темпоратив
не считая,вин,в течение,род,темпоратив
во избежание,род,в целях,род,дестинатив
наряду с,твор,взамен,род,квалификатив
исключая,вин,включая,вин,комитатив
за исключением,род,включая,вин,комитатив
исключая,вин,вместе с,твор,комитатив
наряду с,твор,вместо,род,квалификатив
в целях,род,во избежание,род,потенсив
согласно с,твор,вопреки,дат,директив
согласно,дат,вопреки,дат,директив
благодаря,дат,вопреки,дат,директив
вследствие,род,вопреки,дат,директив
вопреки,дат,вследствие,род,каузатив
несмотря на,вин,вследствие,род,каузатив
включая,вин,за исключением,род,квалификатив
в течение,род,за исключением,род,квалификатив
включая,вин,исключая,вин,квалификатив
наряду с,твор,исключая,вин,квалификатив
вместе с,твор,исключая,вин,квалификатив
в течение,род,исключая,вин,квалификатив
благодаря,дат,наперекор,дат,директив
в соответствии с,твор,наперекор,дат,директив
исключая,вин,наряду с,твор,комитатив
вместо,род,наряду с,твор,комитатив
взамен,род,наряду с,твор,комитатив
без,род,не без,род,комитатив
в течение,род,не считая,вин,комитатив
в зависимости от,род,невзирая на,вин,комитатив
в соответствии с,твор,невзирая на,вин,комитатив
в зависимости от,род,независимо от,род,квалификатив
благодаря,дат,несмотря на,вин,комитатив
вследствие,род,несмотря на,вин,комитатив
в соответствии с,твор,несмотря на,вин,комитатив
позади,род,несмотря на,вин,комитатив
несмотря на,вин,позади,род,локатив
вопреки,дат,согласно,дат,квалификатив
вопреки,дат,согласно с,твор,квалификатив
под контролем,род,без контроля,род,ситуатив
под контролем,род,без наблюдения,род,ситуатив
по просьбе,род,без настояния,род,ситуатив
с учётом,род,без оглядки на,вин,ситуатив
с оглядкой на,вин,без оглядки на,вин,
при посредстве,род,без поддержки,род,ситуатив
силами,род,без поддержки,род,инструментив
путём,род,без поддержки,род,инструментив
с помощью,род,без поддержки,род,инструментив
путём,род,без помощи,род,инструментив
с,твор,без помощи,род,комитатив
силами,род,без помощи,род,инструментив
с помощью,род,без помощи,род,инструментив
с помощью,род,без помощи,род,комитатив
при посредстве,род,без помощи,род,инструментив
при посредстве,род,без помощи,род,комитатив
с помощью,род,без посредства,род,инструментив
с помощью,род,без посредства,род,комитатив
при посредстве,род,без посредства,род,инструментив
при посредстве,род,без посредства,род,комитатив
путём,род,без посредства,род,инструментив
по примеру,род,без примера,род,квалификатив
по просьбе,род,без просьбы,род,ситуатив
по просьбе,род,без прошения,род,ситуатив
с ведома,род,без разрешения,род,ситуатив
с разрешения,род,без разрешения,род,ситуатив
с согласия,род,без согласия,род,ситуатив
с разрешения,род,без согласия,род,ситуатив
под сенью,род,без укрытия,род,локатив
по уполномочию,род,без уполномочия,род,ситуатив
в сообществе с,твор,без участия,род,комитатив
с учётом,род,без учета,род,ситуатив
по просьбе,род,без ходатайства,род,ситуатив
в части,род,безотносительно к,дат,тематив
после,род,ближе к,дат,темпоратив
поодаль от,род,близко к,дат,локатив
в отдалении от,род,близко к,дат,локатив
в отдалении от,род,близко от,род,локатив
далеко от,род,близко от,род,локатив
за границей,род,близко от,род,локатив
за рубеж,род,близко от,род,
за пределами,род,близко от,род,локатив
за пределы,род,близко от,род,локатив
за границами,род,близко от,род,локатив
за рубежом,род,близко от,род,локатив
далече от,род,близко от,род,локатив
в далеке от,род,близко от,род,локатив
за границы,род,близко от,род,
за границу,род,близко от,род,
лицом к,дат,боком к,дат,локатив
позднее,род,в,вин,темпоратив
в конец,род,в авангард,род,директив
в хвост,род,в авангард,род,директив
в конце,род,в авангарде,род,локатив
в последних рядах,род,в авангарде,род,локатив
в хвосте,род,в авангарде,род,локатив
на переднем крае,род,в арьергарде,род,локатив
на поверхности,род,в глубине,род,локатив
на поверхность,род,в глубь,род,локатив
против,род,в защиту,род,тематив
к середине,род,в конце,род,темпоратив
к середине,род,в конце,род,локатив
впереди,род,в конце,род,локатив
на начало,род,в конце,род,темпоратив
в начале,род,в конце,род,темпоратив
в начале,род,в конце,род,локатив
к началу,род,в конце,род,темпоратив
вправо от,род,в левую сторону от,род,директив
несообразно с,твор,в меру,род,квалификатив
в сторону от,род,в направлении,род,директив
поперёк,род,в направлении,род,директив
противоположно,дат,в направлении,род,директив
противоположно,дат,в направлении к,дат,директив
в сторону от,род,в направлении к,дат,директив
к середине,род,в начале,род,темпоратив
на исходе,род,в начале,род,темпоратив
под конец,род,в начале,род,темпоратив
далеко от,род,в нескольких шагах от,род,локатив
поодаль от,род,в нескольких шагах от,род,локатив
вне,род,в обстановке,род,ситуатив
раздельно с,твор,в одно время с,твор,темпоратив
вне,род,в одном из,род,локатив
помимо,род,в одном ряду с,твор,комитатив
вне,род,в окружении,род,ситуатив
вокруг,род,в отдалении от,род,локатив
под носом у,род,в отдалении от,род,локатив
в присутствие,род,в отсутствие,род,комитатив
в присутствии,род,в отсутствие,род,комитатив
налево от,род,в правую сторону от,род,локатив
за рубежом,род,в пределах,род,локатив
за рубежом,род,в пределах,род,тематив
за пределами,род,в пределах,род,локатив
за пределами,род,в пределах,род,тематив
вне границ,род,в пределах,род,локатив
вне границ,род,в пределах,род,тематив
вне сферы,род,в пределах,род,локатив
вне сферы,род,в пределах,род,тематив
за границами,род,в пределах,род,локатив
за границами,род,в пределах,род,тематив
вне пределов,род,в пределах,род,локатив
вне пределов,род,в пределах,род,тематив
вне рамок,род,в пределах,род,локатив
вне рамок,род,в пределах,род,тематив
вне,род,в пределах,род,локатив
вне,род,в пределах,род,тематив
за границей,род,в пределах,род,локатив
за границей,род,в пределах,род,тематив
за рамками,род,в пределах,род,локатив
за рамками,род,в пределах,род,тематив
за рубеж,род,в пределы,род,директив
за рубеж,род,в пределы,род,тематив
за границы,род,в пределы,род,директив
за границы,род,в пределы,род,тематив
за пределы,род,в пределы,род,директив
за пределы,род,в пределы,род,тематив
за границу,род,в пределы,род,директив
за границу,род,в пределы,род,тематив
за рамки,род,в рамки,род,директив
за рамки,род,в рамки,род,тематив
вне,род,в ряду,род,тематив
снаружи,род,в ряду,род,локатив
за пределами,род,в середине,род,локатив
изнутри,род,в середине,род,локатив
на краю,род,в середине,род,локатив
снаружи,род,в середине,род,локатив
отдельно от,род,в содружестве с,твор,комитатив
отдельно от,род,в сообществе,род,комитатив
отдельно от,род,в сообществе с,твор,комитатив
отдельно от,род,в сопоставлении с,твор,комитатив
вне,род,в стенах,род,локатив
снаружи,род,в стенах,род,локатив
в сторону от,род,в сторону,род,директив
от,род,в сторону,род,директив
по напралению к,дат,в сторону от,род,директив
отдельно от,дат,в супряге с,твор,комитатив
вне,род,в сфере,род,тематив
вне сферы,род,в сфере,род,тематив
за пределами,род,в сфере,род,тематив
назло,дат,в угодность,дат,дестинатив
назло,дат,в угоду,дат,дестинатив
навстречу,дат,в угон,дат,директив
вокруг,род,в удалении от,род,локатив
на краю,род,в центре,род,локатив
далеко от,род,в шаге от,род,локатив
вдоль по,дат,в ширину,род,
вниз по,дат,вверх по,дат,директив
внизу,род,вверху,род,локатив
по ширине,род,вдоль по,дат,директив
поперёк,род,вдоль по,дат,директив
против,род,вдоль по,дат,директив
выключая,род,включая,род,комитатив
за вычетом,род,включая,род,комитатив
вне,род,включая,род,комитатив
вне границ,род,включая,род,комитатив
отдельно от,род,вкупе с,твор,комитатив
раздельно с,твор,вкупе с,твор,комитатив
вправо от,род,влево от,род,директив
внутри,род,вне,род,локатив
внутри,род,вне,род,тематив
посреди,род,вне,род,локатив
посередь,род,вне,род,локатив
из числа,род,вне,род,квалификатив
посредине,род,вне,род,локатив
посерёдке,род,вне,род,локатив
середи,род,вне,род,локатив
промежду,род,вне,род,локатив
с,твор,вне,род,комитатив
середь,род,вне,род,локатив
посереди,род,вне,род,локатив
среди,род,вне,род,локатив
посередине,род,вне,род,локатив
на время,род,вне,род,темпоратив
под председательством,род,вне влияния,род,ситуатив
внутри,род,вне границ,род,локатив
с,твор,вне границ,род,тематив
с учётом,род,вне зависимости от,род,ситуатив
под председательством,род,вне зависимости от,род,ситуатив
под началом,род,вне зависимости от,род,ситуатив
с,твор,вне пределов,род,тематив
внутри,род,вне пределов,род,локатив
внутри,род,вне пределов,род,тематив
по пути на,вин,вне пути,род,
внутри,род,вне рамок,род,локатив
внутри,род,вне рамок,род,тематив
с,твор,вне рамок,род,тематив
на тему,род,вне связи с,твор,тематив
по существу,род,вне сути,род,тематив
с,твор,вне сферы,род,тематив
внутри,род,вне сферы,род,тематив
сверх,род,внизу,род,локатив
сверху,род,внизу,род,локатив
за границей,род,внутри,род,локатив
снаружи,род,внутри,род,локатив
помимо,род,внутри,род,
за пределами,род,внутри,род,локатив
за границами,род,внутри,род,локатив
за рубежом,род,внутри,род,локатив
позднее,род,во,вин,темпоратив
на благо,род,во вред,дат,дестинатив
на благо,дат,во вред,дат,дестинатив
посерёдке,род,вовне,род,локатив
посереди,род,вовне,род,локатив
посреди,род,вовне,род,локатив
посредине,род,вовне,род,локатив
посередь,род,вовне,род,локатив
посередине,род,вовне,род,локатив
меж,твор,вокруг,род,локатив
по просьбе,род,вопреки настояниям,род,ситуатив
по примеру,род,вопреки парадигме,род,ситуатив
по примеру,род,вопреки примеру,род,ситуатив
по просьбе,род,вопреки просьбе,род,ситуатив
по просьбе,род,вопреки прошению,род,ситуатив
по существу,род,вопреки сути,род,ситуатив
по просьбе,род,вопреки ходтайству,род,ситуатив
назади,род,впереди,род,локатив
назад,род,вперёд,род,локатив
далеко от,род,вплотную к,дат,локатив
далеко от,род,вплоть к,дат,локатив
далеко от,род,вплоть у,род,локатив
преж,род,впоследствии,род,темпоратив
прежде,род,впоследствии,род,темпоратив
слева от,род,вправо от,род,
начиная с,род,впредь до,род,квантитатив
под стать,дат,вразрез,дат,квалификатив
под тон,дат,вразрез,дат,квалификатив
под углом,род,вразрез,дат,тематив
под тон,род,вразрез,дат,квалификатив
задолго до,род,вскоре после,род,темпоратив
обратно от,род,встречу,дат,директив
от,род,встречу,дат,директив
ниже,род,выше,род,квалификатив
ниже,род,выше,род,квантитатив
ниже,род,выше,род,локатив
за,твор,выше,род,
за,вин,выше,род,
поблизости,род,далеко до,род,локатив
обок,род,далеко от,род,локатив
у ворот,род,далеко от,род,локатив
неподалёку от,род,далеко от,род,локатив
около,род,далеко от,род,локатив
округ,род,далеко от,род,локатив
у ног,род,далеко от,род,локатив
под носом у,род,далеко от,род,локатив
наравне с,твор,далеко от,род,квалификатив
у стен,род,далеко от,род,локатив
поблизости,род,далековато от,род,локатив
поблизости,род,далече до,род,локатив
под носом у,род,далече от,род,локатив
поблизости,род,дальше до,род,локатив
против,род,для,род,дестинатив
противу,род,для,род,дестинатив
позднее,род,до,род,темпоратив
начиная от,род,до,род,квантитатив
после,род,до,род,темпоратив
на протяжении,род,до,род,темпоратив
начиная с,род,до,род,темпоратив
начиная с,род,до,род,квантитатив
с начала,род,до конца,род,темпоратив
с момента,род,до момента,род,темпоратив
с начала,род,до окончания,род,темпоратив
поперёд,род,за,твор,локатив
прежде,род,за,твор,локатив
поперёк,род,за,твор,локатив
супротив,род,за,твор,локатив
преж,род,за,твор,локатив
под носом у,род,за версту от,род,локатив
посерёдке,род,за пределами,род,локатив
посередь,род,за пределами,род,локатив
посреди,род,за пределами,род,локатив
посредине,род,за пределами,род,локатив
посередине,род,за пределами,род,локатив
посереди,род,за пределами,род,локатив
под носом у,род,за семь верст от,род,локатив
под носом у,род,за семью морями от,род,локатив
под носом у,род,за тридевять земель от,род,локатив
на пороге,род,задолго до,род,темпоратив
незадолго до,род,задолго до,род,темпоратив
под каблук,род,из подчинения,род,трансгрессив
под каблук,род,из подчинения,дат,трансгрессив
снаружи,род,из числа,род,квалификатив
против,род,из-за,род,
противу,род,из-за,род,
противно,дат,из-за,род,
под каблук,род,из-под власти,род,трансгрессив
под каблуком,род,из-под власти,род,ситуатив
под крыло,род,из-под защиты,род,трансгрессив
под знамёна,род,из-под знамен,род,трансгрессив
под каблуком,род,из-под каблука,род,ситуатив
под контроль,род,из-под контроля,род,трансгрессив
под каблук,род,из-под контроля,род,трансгрессив
под крыло,род,из-под крыла,род,трансгрессив
под контроль,род,из-под наблюдения,род,трансгрессив
под контроль,род,из-под надзора,род,трансгрессив
под крыло,род,из-под опеки,род,трансгрессив
под крыло,род,из-под покровительства,род,трансгрессив
под каблуком,род,из-под пяты,род,ситуатив
под контроль,род,из-под управления,род,трансгрессив
снаружи,род,изнутри,род,локатив
к началу,род,к концу,род,темпоратив
к середине,род,к концу,род,темпоратив
на начало,род,к концу,род,темпоратив
под конец,род,к началу,род,темпоратив
под занавес,род,к началу,род,темпоратив
к середине,род,к началу,род,темпоратив
на финише,род,к началу,род,темпоратив
на радость,род,к неудовольствию,род,дестинатив
к чести,род,к позору,род,дестинатив
под конец,род,к середине,род,темпоратив
к чести,род,к стыду,род,дестинатив
под носом у,род,как до Луны от,род,локатив
посереди,род,кроме,род,
посередь,род,кроме,род,
посередине,род,кроме,род,
посредине,род,кроме,род,
посреди,род,кроме,род,
посерёдке,род,кроме,род,
с правой стороны от,род,левее от,род,локатив
правее,род,левее от,род,локатив
спиной к,дат,лицом к,дат,локатив
спиной к спине с,предл,лицом к лицу с,твор,локатив
сбоку,род,между,твор,локатив
сбоку от,род,между,твор,локатив
снаружи,род,между,твор,локатив
точно в,вин,мимо,род,директив
плюс,им,минус,им,комитатив
под носом у,род,на большом расстоянии от,род,локатив
скрываясь от,род,на виду у,род,ситуатив
скрываясь от,род,на глазах,род,ситуатив
скрываясь от,род,на глазах у,род,ситуатив
на начало,род,на конец,род,темпоратив
помимо,род,на одинаковых условиях с,твор,комитатив
посерёдке,род,на окраине,род,локатив
посредине,род,на окраине,род,локатив
посередине,род,на окраине,род,локатив
посереди,род,на окраине,род,локатив
посередь,род,на окраине,род,локатив
посреди,род,на окраине,род,локатив
посредине,род,на периферии,род,локатив
посреди,род,на периферии,род,локатив
посередь,род,на периферии,род,локатив
посередине,род,на периферии,род,локатив
посерёдке,род,на периферии,род,локатив
посереди,род,на периферии,род,локатив
под носом у,род,на почтительном расстоянии от,род,локатив
после,род,на протяжении,род,темпоратив
назло,дат,на радость,дат,дестинатив
не на уровне,род,на уровне,род,квалификатив
не соответствуя,дат,на уровне,род,квалификатив
от,род,навстречу,дат,директив
прочь от,род,навстречу,дат,директив
через,вин,назад,вин,темпоратив
спустя,вин,назад,вин,темпоратив
спереди,род,назади,род,локатив
по правую руку от,род,налево от,род,локатив
справа от,род,налево от,род,локатив
направо от,род,налево от,род,локатив
по правую сторону от,род,налево от,род,локатив
с правой стороны от,род,налево от,род,локатив
слева от,род,направо от,род,локатив
помимо,род,наравне с,твор,комитатив
под стать,дат,не под лад,дат,квалификатив
под стать,дат,не под масть,дат,квалификатив
под стать,дат,не под стать,дат,квалификатив
при помощи,род,несмотря на,вин,
под тон,дат,не считаясь с,твор,квалификатив
под углом,род,не считаясь с,твор,квалификатив
под тон,род,не считаясь с,твор,квалификатив
под стать,дат,не считаясь с,твор,квалификатив
поблизости,род,неблизко до,род,локатив
через,вин,ниже,род,
превыше,род,ниже чем,им,квалификатив
под носом у,род,одаль от,род,локатив
помимо,род,одинаково с,твор,квалификатив
помимо,род,одновременно с,твор,квалификатив
поодаль от,род,около,род,локатив
по пути на,вин,от путей,род,
по пути на,вин,от стези,род,
после,род,перед,твор,темпоратив
супротив,род,по,дат,локатив
поперёк,род,по,дат,локатив
противу,род,по,дат,локатив
против,род,по,дат,локатив
против принципа,род,по принципу,род,квалификатив
поперек пути,род,по пути на,вин,
помимо существа,род,по существу,род,
против течения,род,по ходу,род,директив
под,твор,поверх,род,локатив
снизу,род,поверх,род,локатив
снизу,род,поверху,род,локатив
посверху,род,под,твор,локатив
поодаль от,род,под носом у,род,локатив
супротивно,дат,под стать,дат,квалификатив
прежде,род,позднее,род,темпоратив
ранее,род,позднее,род,темпоратив
раньше,род,позднее,род,темпоратив
преж,род,позднее,род,темпоратив
преж,род,позже,род,темпоратив
прежде,род,позже,род,темпоратив
при,предл,помимо,род,комитатив
с,твор,помимо,род,комитатив
рядышком с,твор,поодаль от,род,локатив
при,предл,поодаль от,род,локатив
после,род,поперед,род,темпоратив
после,род,поперед,род,локатив
после,род,поперёд,род,темпоратив
после,род,поперёд,род,локатив
с,твор,поперёд,род,темпоратив
сбоку,род,посереди,род,локатив
снаружи,род,посереди,род,локатив
с внешней стороны,род,посереди,род,локатив
с краю,род,посереди,род,локатив
скраю,род,посереди,род,локатив
скраю,род,посередине,род,локатив
с краю,род,посередине,род,локатив
сбоку,род,посередине,род,локатив
снаружи,род,посередине,род,локатив
с внешней стороны,род,посередине,род,локатив
сбоку от,род,посередине,род,локатив
с внешней стороны,род,посередь,род,локатив
сбоку,род,посередь,род,локатив
с краю,род,посередь,род,локатив
скраю,род,посередь,род,локатив
снаружи,род,посередь,род,локатив
с внешней стороны,род,посерёдке,род,локатив
сбоку,род,посерёдке,род,локатив
с краю,род,посерёдке,род,локатив
скраю,род,посерёдке,род,локатив
снаружи,род,посерёдке,род,локатив
преж,род,после,род,темпоратив
ранее,род,после,род,темпоратив
пред,твор,после,род,темпоратив
раньше,род,после,род,темпоратив
прежде,род,после,род,темпоратив
скраю,род,посреди,род,локатив
сбоку,род,посреди,род,локатив
с внешней стороны,род,посреди,род,локатив
